,unique_id,ds,y,Type,AutoARIMA
105,time-analysis,2019-05-01 09:00:00,7605.0,Training,
106,time-analysis,2019-05-01 10:00:00,7766.0,Training,
107,time-analysis,2019-05-01 11:00:00,7763.0,Training,
108,time-analysis,2019-05-01 12:00:00,7778.0,Training,
109,time-analysis,2019-05-01 13:00:00,7649.0,Training,
110,time-analysis,2019-05-01 14:00:00,7511.0,Training,
111,time-analysis,2019-05-01 15:00:00,7567.0,Training,
112,time-analysis,2019-05-01 16:00:00,7904.0,Training,
113,time-analysis,2019-05-01 17:00:00,8408.0,Training,
114,time-analysis,2019-05-01 18:00:00,8525.0,Training,
115,time-analysis,2019-05-01 19:00:00,8482.0,Training,
116,time-analysis,2019-05-01 20:00:00,8226.0,Training,
117,time-analysis,2019-05-01 21:00:00,7893.0,Training,
118,time-analysis,2019-05-01 22:00:00,7341.0,Training,
119,time-analysis,2019-05-01 23:00:00,6983.0,Training,
120,time-analysis,2019-06-01 00:00:00,6665.0,Training,
121,time-analysis,2019-06-01 01:00:00,6441.0,Training,
122,time-analysis,2019-06-01 02:00:00,6297.0,Training,
123,time-analysis,2019-06-01 03:00:00,6168.0,Training,
124,time-analysis,2019-06-01 04:00:00,6260.0,Training,
125,time-analysis,2019-06-01 05:00:00,6244.0,Training,
126,time-analysis,2019-06-01 06:00:00,6341.0,Training,
127,time-analysis,2019-06-01 07:00:00,6649.0,Training,
128,time-analysis,2019-06-01 08:00:00,6812.0,Training,
129,time-analysis,2019-06-01 09:00:00,7087.0,Training,
130,time-analysis,2019-06-01 10:00:00,7161.0,Training,
131,time-analysis,2019-06-01 11:00:00,7074.0,Training,
132,time-analysis,2019-06-01 12:00:00,7129.0,Training,
133,time-analysis,2019-06-01 13:00:00,7211.0,Training,
134,time-analysis,2019-06-01 14:00:00,6997.0,Training,
135,time-analysis,2019-06-01 15:00:00,7095.0,Training,
136,time-analysis,2019-06-01 16:00:00,7307.0,Training,
137,time-analysis,2019-06-01 17:00:00,7851.0,Training,
138,time-analysis,2019-06-01 18:00:00,7992.0,Training,
139,time-analysis,2019-06-01 19:00:00,7955.0,Training,
140,time-analysis,2019-06-01 20:00:00,7810.0,Training,
141,time-analysis,2019-06-01 21:00:00,7593.0,Training,
142,time-analysis,2019-06-01 22:00:00,7202.0,Training,
143,time-analysis,2019-06-01 23:00:00,6800.0,Training,
144,time-analysis,2019-07-01 00:00:00,6512.0,Training,
145,time-analysis,2019-07-01 01:00:00,6270.0,Training,
146,time-analysis,2019-07-01 02:00:00,6172.0,Training,
147,time-analysis,2019-07-01 03:00:00,6228.0,Training,
148,time-analysis,2019-07-01 04:00:00,6280.0,Training,
149,time-analysis,2019-07-01 05:00:00,6588.0,Training,
150,time-analysis,2019-07-01 06:00:00,7054.0,Training,
151,time-analysis,2019-07-01 07:00:00,7723.0,Training,
152,time-analysis,2019-07-01 08:00:00,8410.0,Training,
153,time-analysis,2019-07-01 09:00:00,8721.0,Training,
154,time-analysis,2019-07-01 10:00:00,8743.0,Training,
155,time-analysis,2019-07-01 11:00:00,8646.0,Training,
156,time-analysis,2019-07-01 12:00:00,8583.0,Training,
157,time-analysis,2019-07-01 13:00:00,8686.0,Training,
158,time-analysis,2019-07-01 14:00:00,8385.0,Training,
159,time-analysis,2019-07-01 15:00:00,8410.0,Training,
160,time-analysis,2019-07-01 16:00:00,8382.0,Training,
161,time-analysis,2019-07-01 17:00:00,8910.0,Training,
162,time-analysis,2019-07-01 18:00:00,8992.0,Training,
163,time-analysis,2019-07-01 19:00:00,8975.0,Training,
164,time-analysis,2019-07-01 20:00:00,8795.0,Training,
165,time-analysis,2019-07-01 21:00:00,8501.0,Training,
166,time-analysis,2019-07-01 22:00:00,7859.0,Training,
167,time-analysis,2019-07-01 23:00:00,7369.0,Training,
168,time-analysis,2019-08-01 00:00:00,7106.0,Training,
169,time-analysis,2019-08-01 01:00:00,6951.0,Training,
170,time-analysis,2019-08-01 02:00:00,6890.0,Training,
171,time-analysis,2019-08-01 03:00:00,6839.0,Training,
172,time-analysis,2019-08-01 04:00:00,6890.0,Training,
173,time-analysis,2019-08-01 05:00:00,7084.0,Training,
174,time-analysis,2019-08-01 06:00:00,7588.0,Training,
175,time-analysis,2019-08-01 07:00:00,8433.0,Training,
